Pop5_Original,Pop10_Original,Pop20_Original,Pop30_Original,Pop40_Original,
1485108,1346577,1346876,1504187,1493383,
1485108,1336423,1346876,1504187,1493383,
1485108,1336423,1346876,1504187,1493383,
1480957,1327270,1346876,1504187,1493383,
1480957,1327270,1346876,1504187,1493383,
1480083,1327270,1346876,1504187,1493383,
1477810,1323393,1346876,1504187,1493383,
1475610,1323393,1346876,1504187,1493383,
1475610,1318513,1346876,1504187,1493383,
1475610,1318513,1346876,1504187,1493383,
1475610,1318513,1346876,1504187,1493383,
1475610,1318513,1346876,1504187,1478336,
1475610,1318513,1346876,1504187,1478336,
1475610,1308599,1346876,1504187,1478336,
1475610,1308599,1346876,1504187,1478336,
1472600,1307253,1346876,1504187,1477104,
1467947,1306044,1346876,1487297,1477104,
1467947,1306044,1346876,1487297,1477104,
1467947,1306044,1346876,1487297,1477104,
1464704,1306044,1346876,1487297,1477104,
1464704,1306044,1343574,1487297,1476268,
1464704,1306044,1343574,1487297,1476268,
1464704,1306044,1343574,1487297,1476268,
1464704,1299148,1343574,1487297,1476268,
1464704,1299148,1343574,1487297,1476268,
1464704,1299148,1343029,1481719,1476268,
1464704,1298005,1343029,1477859,1476268,
1464704,1298005,1343029,1477859,1476268,
1464704,1292406,1343029,1477859,1476268,
1464704,1292406,1337284,1477244,1465612,
1464704,1280262,1337284,1477244,1465612,
1464704,1280262,1337284,1477244,1465612,
1464704,1280262,1337284,1477244,1465612,
1464704,1280262,1337284,1477244,1465612,
1464704,1280262,1337284,1477244,1465612,
1464704,1278299,1337284,1477244,1465612,
1455334,1278299,1337284,1477244,1465612,
1455334,1278299,1337284,1477244,1465612,
1455334,1278299,1337284,1477244,1465612,
1455334,1278299,1337284,1477244,1465612,
1455334,1278299,1337284,1477244,1450192,
1455334,1278299,1337284,1477244,1450192,
1455334,1278299,1337284,1477244,1445678,
1448469,1278299,1337284,1477244,1445678,
1448469,1278299,1337284,1477244,1445678,
1448469,1278299,1337284,1477244,1445678,
1448469,1278299,1337284,1468504,1445678,
1448469,1278299,1334463,1468504,1445678,
1448469,1278299,1334463,1468504,1443422,
1448454,1276884,1334463,1468504,1443422,
1448454,1276884,1334463,1468504,1443422,
1448454,1275206,1334463,1468504,1443422,
1448454,1275206,1334463,1468504,1443422,
1444710,1275206,1334463,1468504,1443422,
1428564,1275206,1334463,1468504,1443422,
1428564,1275206,1334009,1468504,1443422,
1428564,1275206,1334009,1463757,1420881,
1428564,1271788,1327993,1463757,1420881,
1428564,1271788,1327993,1463757,1420881,
1428564,1271788,1327511,1463757,1420881,
1428564,1271788,1327511,1463757,1420881,
1428564,1271788,1327511,1463757,1420881,
1428564,1271788,1327511,1463757,1420881,
1428564,1271788,1327511,1463757,1419276,
1428564,1271788,1326435,1463757,1400583,
1428564,1271788,1326435,1463757,1400583,
1428564,1271788,1326435,1463757,1400583,
1428564,1271788,1326435,1463757,1400583,
1428564,1271788,1326435,1463757,1400583,
1428564,1271788,1322087,1463757,1400176,
1428564,1271788,1322087,1463757,1400176,
1428564,1271788,1322087,1463757,1400176,
1428564,1264565,1322087,1463757,1400176,
1428564,1264565,1322087,1463757,1400176,
1428564,1258128,1322087,1463757,1400176,
1428564,1258128,1322087,1463757,1400176,
1428564,1258128,1322087,1463757,1400176,
1428564,1258128,1322087,1463757,1400176,
1428564,1258128,1322087,1463368,1400176,
1428564,1258128,1322087,1463368,1400176,
1427542,1258128,1322087,1463368,1400176,
1427542,1258128,1317215,1463368,1400176,
1427542,1258128,1317215,1463368,1400176,
1425779,1258128,1317215,1463368,1400176,
1425779,1258128,1317215,1463368,1400176,
1425779,1253399,1317215,1463368,1400176,
1409383,1253399,1317215,1463368,1400176,
1403487,1253399,1317215,1463368,1400176,
1403487,1253399,1317215,1463368,1400176,
1403487,1252537,1317215,1463368,1397930,
1403487,1252537,1317215,1463368,1388117,
1403487,1251643,1317215,1461830,1388117,
1403487,1251643,1317215,1461830,1388117,
1403487,1251643,1317215,1461830,1388117,
1403487,1251643,1317215,1461830,1388117,
1403487,1251643,1317215,1461830,1388117,
1403487,1251643,1317215,1461830,1388117,
1391498,1251643,1317215,1461830,1388117,
1390247,1251643,1317215,1461830,1388117,
1390247,1251643,1317215,1452958,1388117,
1390247,1251643,1317215,1452958,1388117,
1390247,1251643,1315832,1452958,1388117,
1390247,1251643,1315832,1452958,1388117,
1390247,1251643,1315832,1452958,1388117,
1390247,1251643,1315832,1452958,1388117,
1376478,1251643,1315832,1452958,1388117,
1376478,1251643,1315832,1452958,1388117,
1376478,1251643,1315832,1452958,1388117,
1376478,1251643,1315832,1452958,1388117,
1371872,1251643,1315832,1452958,1388117,
1368871,1251643,1315832,1452958,1388117,
1366659,1251643,1315832,1452958,1388117,
1366659,1251643,1315832,1452958,1388117,
1366659,1251643,1315832,1452958,1388117,
1366659,1251643,1315832,1452958,1388117,
1366659,1251643,1315832,1452958,1388117,
1366659,1251643,1315832,1452958,1388117,
1366659,1251537,1315832,1452958,1388117,
1366659,1251537,1315832,1452958,1388117,
1366659,1251537,1315832,1452958,1388117,
1366659,1251537,1315832,1452958,1388117,
1366659,1251537,1315832,1452958,1388117,
1366659,1249092,1315832,1450145,1388117,
1366659,1249092,1315832,1450145,1388117,
1366659,1245075,1308203,1450145,1388117,
1366659,1245075,1308203,1450145,1388117,
1366659,1245075,1308203,1450145,1388117,
1366659,1245075,1308203,1450145,1388117,
1362380,1240527,1308203,1450145,1383698,
1359576,1240527,1308203,1450145,1383698,
1359576,1240527,1308203,1450145,1383698,
1358818,1240527,1308203,1450145,1383698,
1358818,1240527,1308203,1450145,1383698,
1358549,1240527,1308203,1450145,1383698,
1358549,1240527,1308203,1450145,1383698,
1357031,1240527,1308203,1450145,1383698,
1357031,1239773,1308203,1450145,1383698,
1357031,1239773,1308203,1450145,1383698,
1357031,1239773,1308203,1449859,1383698,
1357031,1239773,1308203,1449859,1383698,
1357031,1239773,1308203,1443840,1383698,
1357031,1239773,1308203,1443840,1381287,
1357031,1239773,1307968,1443840,1381287,
1357031,1239773,1307968,1443840,1377849,
1357031,1236571,1307968,1443840,1377115,
1346675,1236571,1307968,1443840,1377115,
1346675,1236571,1307968,1443840,1369636,
1346675,1236571,1307968,1443840,1366855,
1346675,1236571,1307968,1443840,1366855,
1346675,1235673,1307968,1443840,1366855,
1346675,1235673,1307968,1443840,1366855,
1346675,1235673,1307968,1443840,1366855,
1346675,1235673,1307968,1443840,1366855,
1346070,1235673,1307968,1443840,1366855,
1346070,1235673,1307968,1443840,1366855,
1346070,1235673,1307968,1440938,1366855,
1343695,1235673,1307968,1440938,1366855,
1343695,1233025,1307968,1440938,1366855,
1343695,1233025,1307968,1440938,1366855,
1343695,1233025,1307968,1440938,1366855,
1343090,1230349,1307968,1440938,1366855,
1343090,1228444,1307968,1434829,1366855,
1343090,1215298,1307968,1434829,1366855,
1343090,1215298,1307968,1434829,1366855,
1343090,1215298,1307968,1434829,1366855,
1343090,1215298,1307968,1434829,1366855,
1343090,1215298,1307968,1434829,1366855,
1343090,1215298,1307968,1434829,1366855,
1343090,1215298,1307968,1434829,1366855,
1338904,1215298,1306965,1434829,1366855,
1338904,1215298,1306965,1434829,1366855,
1338904,1215298,1306965,1434829,1366855,
1338904,1215298,1306965,1434829,1366855,
1338904,1215298,1302075,1434829,1366855,
1338904,1215298,1302075,1434829,1366855,
